"Y" "xVente.xVente.1" "xVente.xVente.2" "xVente.xVente.3" "xVente.xVente.4" "xVente.xVente.5" "xVente.xVente.6" "xVente.xVente.7" "xVente.xVente.8" "xVente.xVente.9" "xVente.xVente.10" "xVente.xVente.11" "xVente.xVente.12" "xVente.xVente.13" "xVente.xVente.14" "xVente.xVente.15" "xVente.xVente.16" "xVente.xVente.17" "xVente.xVente.18" "xVente.xVente.19" "xVente.xVente.20" "xVente.xVente.21" "xVente.xVente.22" "xVente.xVente.23" "xVente.xVente.24" "xVente.xVente.25" "xVente.xVente.26" "xVente.xVente.27" "xVente.xVente.28" "xVente.xVente.29" "xVente.xVente.30" "xVente.xVente.31" "xVente.xVente.32" "xVente.xVente.33" "xVente.xVente.34" "xVente.xVente.35" "xVente.xVente.36" "xVente.xVente.37" "xVente.xVente.38" "xVente.xVente.39" "xVente.xVente.40" "zVente.zVente.1" "zVente.zVente.2" "zVente.zVente.3" "zVente.zVente.4" "zVente.zVente.5" "zVente.zVente.6" "zVente.zVente.7" "zVente.zVente.8" "zVente.zVente.9" "zVente.zVente.10" "zVente.zVente.11" "zVente.zVente.12" "zVente.zVente.13" "zVente.zVente.14" "zVente.zVente.15" "zVente.zVente.16" "zVente.zVente.17" "zVente.zVente.18" "zVente.zVente.19" "zVente.zVente.20" "zVente.zVente.21" "zVente.zVente.22" "zVente.zVente.23" "zVente.zVente.24" "zVente.zVente.25" "zVente.zVente.26" "zVente.zVente.27" "zVente.zVente.28" "zVente.zVente.29" "zVente.zVente.30" "zVente.zVente.31" "zVente.zVente.32" "zVente.zVente.33" "zVente.zVente.34" "zVente.zVente.35" "zVente.zVente.36" "zVente.zVente.37" "zVente.zVente.38" "zVente.zVente.39" "zVente.zVente.40" "xMoteur.xMoteur.1" "xMoteur.xMoteur.2" "xMoteur.xMoteur.3" "xMoteur.xMoteur.4" "xMoteur.xMoteur.5" "xMoteur.xMoteur.6" "xMoteur.xMoteur.7" "xMoteur.xMoteur.8" "xMoteur.xMoteur.9" "xMoteur.xMoteur.10" "zMoteur.zMoteur.1" "zMoteur.zMoteur.2" "zMoteur.zMoteur.3" "zMoteur.zMoteur.4" "zMoteur.zMoteur.5" "zMoteur.zMoteur.6" "zMoteur.zMoteur.7" "zMoteur.zMoteur.8" "zMoteur.zMoteur.9" "zMoteur.zMoteur.10" "xInfo.xInfo.1" "xInfo.xInfo.2" "xInfo.xInfo.3" "xInfo.xInfo.4" "xInfo.xInfo.5" "xInfo.xInfo.6" "xInfo.xInfo.7" "xInfo.xInfo.8" "xInfo.xInfo.9" "xInfo.xInfo.10" "zInfo.zInfo.1" "zInfo.zInfo.2" "zInfo.zInfo.3" "zInfo.zInfo.4" "zInfo.zInfo.5" "zInfo.zInfo.6" "zInfo.zInfo.7" "zInfo.zInfo.8" "zInfo.zInfo.9" "zInfo.zInfo.10" "xRecherche.xRecherche.1" "xRecherche.xRecherche.2" "xRecherche.xRecherche.3" "xRecherche.xRecherche.4" "xRecherche.xRecherche.5" "zRecherche.zRecherche.1" "zRecherche.zRecherche.2" "zRecherche.zRecherche.3" "zRecherche.zRecherche.4" "zRecherche.zRecherche.5" "xForum.xForum.1" "xForum.xForum.2" "xForum.xForum.3" "xForum.xForum.4" "xForum.xForum.5" "xForum.xForum.6" "xForum.xForum.7" "xForum.xForum.8" "xForum.xForum.9" "xForum.xForum.10" "zForum.zForum.1" "zForum.zForum.2" "zForum.zForum.3" "zForum.zForum.4" "zForum.zForum.5" "zForum.zForum.6" "zForum.zForum.7" "zForum.zForum.8" "zForum.zForum.9" "zForum.zForum.10"
"23" 0 6.95 0.42 7.42 3.28 4.27 1 0.68 1.29 0.96 0.42 4.79 0.88 2.08 4.06 6.85 3.99 1.87 8.48 1.54 5 3.01 10.23 1.58 0.34 2.25 9.53 0.13 7.21 0.05 10.26 2 1.78 9.11 1.69 2.35 9.33 4.34 4.46 3.77 1.48 6 2 4 3 5 1 1 1 4 2 4 2 1 11 8 10 2 4 4 9 6 14 1 3 2 11 2 11 3 6 3 2 15 1 5 8 3 3 12 2 23.34 16.06 17.51 8.6 15.13 2.46 5.43 10.05 10.21 16.82 24 15 22 10 8 2 7 10 12 10 5.93 3.54 7.81 7.25 9.37 3.77 3.06 5.01 0.85 2.67 3 2 8 5 8 1 2 1 4 1 8.24 4.28 5.18 9.08 11.51 5 4 4 5 5 0.36 3.05 0.2 2.93 6.25 2.28 0.31 0.65 2.5 3.85 12 2 8 5 5 2 3 1 5 1
"24" 2 7.29 2.18 6.33 3.75 5.89 0.75 2.18 0.19 3.84 1.42 5.46 3.46 0.53 3.91 8.81 6.77 0.47 7.14 1.65 5.81 2.3 10.1 0.5 1.32 1.72 11.16 0.74 9.95 3.48 8.33 1.22 1.37 8.72 2.82 2.09 12.44 5.69 5.29 5.38 0.45 9 3 4 8 3 1 3 1 2 1 2 1 1 7 13 7 2 8 2 5 3 12 2 3 8 17 4 8 2 9 2 2 12 2 2 8 2 4 10 2 23.38 16.23 17.54 7.52 13.47 1.32 1.94 10.85 11.96 13.45 30 8 14 11 12 1 4 10 10 20 5.8 3.31 4.56 6.19 7.7 5.2 3.59 3.98 3.46 2.28 9 2 4 6 3 1 4 1 3 1 6.81 2 1.68 1.1 4.01 4 3 5 6 2 1.12 2.76 0.27 3.72 3.84 3.76 0.08 0.28 0.34 5.47 6 5 8 4 5 1 5 1 2 1
"25" 4 6.62 1.77 5.93 4.42 3.89 0.55 2.3 0.06 2.97 0.59 5.51 3 0.99 4.57 9.25 6.86 1.79 6.38 1.85 3.17 4.37 11.89 0.14 2.16 4.55 10.19 0.17 7.72 3.5 10.57 1.97 0.85 10.3 1.27 3.07 12.14 5.07 4.92 5.8 1.15 4 4 5 3 4 1 1 1 4 1 9 3 3 11 15 9 1 7 4 7 2 10 1 1 3 7 2 13 4 12 1 1 5 2 3 15 10 4 9 1 25.69 13.87 16.86 8.41 13.26 0.86 6.39 8.55 8.4 17.13 27 11 17 17 15 2 5 11 12 15 5.66 3.75 5.12 8.05 8.9 3.64 1.77 2.28 2.76 2.6 12 4 2 6 8 1 2 2 4 2 9.72 2.09 0.28 4.1 9.65 7 3 4 9 4 0.38 4.23 0.3 3.86 4.54 3.03 0.35 2.28 1.17 4.61 6 2 10 4 5 1 1 1 5 1
"26" 0 6.46 2.57 4.77 6.57 5.39 0.04 3.72 0.57 3.28 1.31 4.39 0.3 2.67 6.26 8.87 3.82 1.75 6.53 0.76 3.1 3.46 7.92 0.43 5.15 6.47 10.24 1.81 8.59 3.81 9.67 0.84 3.22 9.33 4.1 2.54 9.83 4.51 6.07 7.65 2.86 7 1 5 5 6 1 3 1 4 1 6 1 3 5 10 10 1 8 2 7 6 13 1 1 3 9 3 14 4 15 2 4 12 6 6 11 6 3 5 2 25.73 14.22 14.98 7.3 14.48 1.15 0.22 10.07 10.5 13.14 28 14 13 12 9 1 5 12 11 16 6.01 3.58 4.38 5.94 7.67 4.12 3.32 5.28 3.79 3.42 6 7 9 6 11 1 3 1 5 1 9.65 3.24 4.15 7.63 12.2 15 1 10 8 5 0.82 4.92 0.54 4.99 6.65 4.14 0.31 0.47 0.22 4.83 6 1 11 3 5 1 2 2 6 1
"27" 0 11.51 0.01 5.26 4.13 6.34 2.18 0.86 0.35 2.42 0.08 6.16 0 0.71 5.88 11.03 5.34 0.84 9.51 0.09 4.14 2.33 10.85 0.88 3.76 5.13 9.81 2.18 8.57 1.75 11.95 1.13 1.05 12.03 0.89 3.76 8.65 5.46 6.38 4.81 2.64 7 2 8 10 6 1 4 1 4 1 10 2 3 8 11 4 2 5 4 5 4 7 3 2 4 13 6 12 5 9 1 3 12 2 2 11 7 6 7 2 24.7 14.67 17.41 7.92 13.76 1.52 4.21 9.66 10.71 15.89 16 19 19 8 15 2 6 10 10 19 6.85 6.3 7.93 6.82 7.8 4.27 4.99 4.26 2.83 3.44 5 1 10 3 5 1 8 1 3 1 6.68 4.48 2 3.89 8.73 7 2 9 4 4 0.4 4.9 1.11 2.86 7.83 1.08 0.39 1.69 1.65 3.88 7 3 4 5 2 1 1 1 4 2
"28" 4 6.89 0.51 4.17 3.86 5.41 1.61 3.97 0.57 3.4 1.41 4.06 0.46 2.63 4.48 10.59 3.22 1.43 7.86 0.24 4.49 3.85 9.45 0.65 1.07 5.39 9.08 1.59 9.18 3.67 9.27 2.26 0.16 13.44 2.57 3.02 7.92 7.24 4.48 4.72 3.71 14 4 7 3 4 4 3 1 4 1 9 2 2 5 6 8 1 6 3 3 4 11 1 4 3 5 2 7 3 11 2 3 10 3 5 7 9 9 5 1 25.84 16.24 16.38 8.44 15.93 2.24 4.6 9.34 9.34 16.38 29 12 22 8 14 2 2 7 12 26 5.35 3.69 3.99 8.13 8.9 3.76 2.04 3.48 2.1 2.45 4 2 3 4 10 3 3 1 5 2 7.69 2.38 0.03 4.34 7.95 10 4 5 3 3 0.2 4.98 0.37 3.66 7.91 3.87 1.29 2.32 3.03 4.49 11 4 8 11 3 1 2 1 6 1
"29" 5 7.08 3.06 6.66 7.07 7.12 1.62 1.47 0.21 2.34 1.11 3.61 2.28 3.95 5.33 7.39 7.1 0.67 6.55 2.17 7.41 2.9 8.61 0.75 1.6 4.43 13.76 2.17 8.77 4.54 11.77 0.42 2.06 10.3 2.21 2.95 8.4 5.26 5.68 6.26 0.09 11 2 6 6 11 1 3 1 2 2 6 1 2 6 9 4 1 8 2 5 2 6 2 4 8 18 1 12 5 6 2 2 12 2 7 8 4 11 7 2 24.52 14.69 16.97 7.99 12.31 1.11 3.79 10.46 11.18 14.84 21 14 23 8 22 3 5 15 10 19 6.54 5.38 5.02 8.17 9.07 2.79 2.78 3.65 2.55 3.39 5 2 9 10 5 1 4 1 3 1 7.84 3.7 0.02 4.01 8.25 7 5 9 10 5 1.12 3.29 0.19 3.56 6.3 2.86 0.45 2.39 0.13 3.44 6 4 9 7 7 1 3 1 4 1
"30" 0 7.83 3.28 4.04 4.23 7.09 0.73 0.67 1.05 0.65 1.51 7.41 0.75 1.9 4.06 4.75 4.26 2.37 5.6 0.96 6.27 3.67 10.59 0.85 0.94 2.17 9.28 0.39 8.29 2.82 9.48 0.16 0.52 10.15 1.02 0.29 13.19 6.87 7.61 4.37 0.3 5 3 6 4 7 1 3 1 6 1 8 1 3 4 13 5 1 2 1 8 3 8 1 3 5 10 1 5 4 10 1 3 11 4 2 13 8 5 7 1 23.61 15.83 17.29 9.25 12.76 3.74 4.64 9.72 10.38 16.42 25 12 21 4 30 1 2 11 7 21 6.11 4.12 5.98 6.34 8.87 3.13 1.6 3.19 1.45 2.67 5 2 3 2 7 2 5 1 4 1 8.62 2.49 0.12 4.66 9.26 7 2 8 4 6 0.41 3.63 1.11 1.66 6.25 0.23 1.02 0.92 2.84 4.96 4 2 6 5 9 1 4 1 6 1
"31" 1 4.06 0.58 5.24 4.92 3.91 0 2.7 1.24 0.91 1.86 2.47 1.38 0.44 3.97 7.3 2.79 0.98 7.1 0.05 3.32 1.9 7.55 0.78 1.13 0.6 8.53 1.52 7.47 2.05 7.74 2.36 1.59 9.76 2.12 2.16 8.23 3.77 4.59 3.94 1.03 6 2 7 7 3 1 5 1 2 1 6 2 2 5 5 11 2 3 4 4 3 8 2 3 5 10 1 8 4 14 1 1 10 2 2 13 8 5 7 3 27.86 16.33 18.25 9.12 15.43 1.26 5.96 9.58 9.69 18.17 24 12 15 10 12 3 6 13 14 16 6.15 3.53 5.53 6.25 8.51 2.95 2.7 4.55 2.53 3.27 5 3 5 4 8 1 8 1 2 3 7.89 3.9 1.98 6.56 10.1 9 3 3 5 5 1.22 2.61 0.57 3.22 4.78 3.49 0.68 1.31 2.09 5.24 5 3 4 7 12 1 1 1 8 1
"32" 1 7.04 1.46 4.43 5.18 4.23 1.54 0.5 1.17 3.47 1.43 3.54 1.33 1.13 6.48 8.9 5.54 2.08 8.44 2.36 5.14 2.42 9.19 0.82 2.32 5.87 9.53 3.17 7.46 3.64 8.3 0.14 1.38 10.77 2.23 3.76 7.55 7.47 7.54 5.34 0.08 11 1 6 10 4 2 4 1 1 2 7 3 2 3 10 7 2 7 2 8 2 16 1 2 2 12 1 8 2 7 2 2 9 1 6 16 9 1 6 2 27.85 17.19 17.01 9.51 14.53 5.08 3.19 11.23 11.08 15.48 30 10 16 7 21 4 7 9 10 14 7.17 4.31 5.49 6.03 9.42 2.63 1.56 5.28 2.17 3.17 8 3 8 10 6 1 4 2 6 1 11.74 0.81 2.1 6.6 12.09 6 1 5 9 3 0.5 2.3 0.57 4.31 5.21 4.13 0.5 1.52 2.43 4.59 6 4 2 4 3 2 4 2 5 1
"33" 9 5.9 2.41 4.23 6.38 3.28 1.52 3.87 1.05 3.89 1.19 5.2 0.54 1.62 5.19 9.02 6.23 0.57 10.15 1.78 6.99 2.29 9.26 0.72 0.58 2.24 10.22 0.73 8.8 2.47 8.95 1.02 1.29 7.78 0.74 1.75 8.89 5.23 6.99 6.33 1.6 7 1 2 7 7 1 4 2 5 1 6 3 6 5 12 10 2 9 1 3 4 11 1 1 3 9 4 7 2 10 1 4 9 2 3 13 7 10 5 1 25.81 15.67 15.59 7.65 14.99 1.24 5.86 8.13 9.43 16.76 29 14 18 12 14 2 4 6 10 17 6.24 4.73 5.2 4.71 7.76 3.34 2.35 4.35 1.56 2.81 7 7 4 2 8 1 5 2 4 1 8.38 3.14 0.62 5.17 10.27 7 4 4 2 6 0.92 3.77 0.01 2.73 6.79 2.85 1.2 4.07 2.04 3.38 6 7 5 4 5 1 4 1 1 1
"34" 1 8.46 1.74 6.4 4.49 6.19 0.51 2.51 0.71 1.1 4.43 4.66 0.24 1.73 5.55 8.53 6.21 1.03 9.09 0.02 3.77 3.46 10.87 1.97 0.11 1.15 10.78 2.29 7.86 1.27 9.18 1.95 1.1 12.24 2.13 3.47 9 6.94 7.12 4.53 0.42 3 3 6 4 9 1 4 1 3 3 6 1 2 11 15 6 1 7 1 9 5 11 2 2 6 11 2 12 2 10 2 2 13 2 3 6 9 3 8 1 28.56 14.77 16.76 8.53 14.05 0.56 2.69 10.6 10.62 15.6 46 19 15 8 12 2 4 8 11 20 6.17 5.56 5.28 6.84 8.01 3.48 4.42 4.23 1.57 2.76 13 4 9 6 7 1 1 1 3 1 11.36 1.8 3.47 7.36 12.57 6 2 6 6 8 1.23 2.74 0.46 3.28 5.81 4.59 1.22 3.65 1.16 3.37 9 5 3 9 10 1 3 1 4 1
"35" 1 2.22 2.2 5.12 6.72 5.67 0.58 0.71 0.5 2.88 0.48 3.46 2.28 1.69 5.95 8.23 6.16 1.46 5.3 3.17 2.95 2.58 9 0.67 1.68 3.52 9.32 1.27 8.2 4.67 8.7 0.41 1.81 8.58 3.51 3.87 9.16 5.57 5.6 6.79 1.14 9 3 3 7 6 1 4 1 7 1 5 3 2 6 11 10 3 4 2 6 3 8 2 1 4 12 1 8 5 13 1 4 10 1 8 11 6 9 7 1 23.53 15.84 17.16 7.87 14.9 1.53 4.07 10.73 10.95 14.99 31 20 15 16 13 3 4 13 6 12 6.87 4.4 3.75 7.21 8.58 2.9 3.3 5.52 4.09 3.34 10 3 7 6 7 1 2 1 1 3 10.87 1.72 1.06 3.08 10.24 10 3 7 5 3 0.65 4.19 0.75 4.48 5.03 4.46 0.62 3.15 2.32 4.94 4 5 3 7 3 1 2 1 2 1
"36" 0 5.04 2.42 4.26 5.99 4.95 0.58 1.56 1 4.35 0.91 6 0.27 1.04 5.97 8.06 5.98 0.91 5.36 0.41 4.73 2.92 9.98 0.01 1.94 5.62 10.38 0.38 8.51 4.75 9.08 0.52 0.11 11.95 1.1 1.59 10.86 5.31 8.15 5.59 2.71 8 4 9 6 6 1 1 2 3 1 7 1 2 5 10 7 1 12 1 7 6 11 1 3 7 16 1 6 6 13 1 2 9 3 2 12 7 8 7 1 25.65 14.95 16.49 7.26 14.49 1.7 0.87 9.83 10.77 13.19 15 14 20 10 10 2 6 12 6 17 6.32 3.93 5.47 7.25 9.37 3.08 2.93 4.71 1.39 2.49 4 3 5 9 9 1 4 1 8 3 8.8 3.51 0.62 3.94 9.27 8 4 6 7 6 0.17 5.06 1.4 4.36 5.28 3.2 0.32 1.37 1.69 5.34 6 2 11 10 4 1 7 1 3 1
"37" 11 6.96 1.19 4.64 5.65 4.84 1.55 2.29 0.72 2.71 1.43 5.93 0.18 3.11 5.92 9.59 5.58 1.74 9.48 0.63 3.52 3.29 9.75 0.26 1.37 3.71 10.5 2.52 9.24 3.39 9.4 0.88 2.83 8.93 1.01 3.7 10.23 3.4 4.67 2.87 0.81 12 4 9 4 9 2 3 1 1 3 3 2 1 6 7 9 1 6 1 6 3 16 3 2 3 7 1 9 5 12 2 3 18 3 7 11 8 6 6 2 26.04 11.98 14.97 7.72 12.4 2.53 3.32 8.57 9.39 15.51 20 20 19 8 15 2 6 3 17 23 5.37 3.47 5.2 6.49 8.57 3.8 2.08 3.88 0.93 2.13 5 6 5 4 4 2 7 1 4 1 7.22 4.26 2.92 1.52 7.02 9 4 5 5 6 0.49 2.17 0.46 3.28 5.28 5.56 1.01 2.58 2.01 4.2 7 1 8 4 5 1 5 2 7 1
"38" 0 8.89 1.86 2.89 4.52 5.01 0.6 4.59 0.03 1.85 2.1 5.35 0.73 1.81 3.84 7.3 4.77 0 8.42 0.16 9.47 2.01 7.85 0.37 0.04 3.66 10.57 2.05 8.14 3.48 10.29 1.87 0.11 10.18 1.49 0.81 7.93 6.57 8.14 7.25 0.4 10 3 5 7 9 1 1 3 5 2 4 1 5 8 13 6 1 10 2 8 6 10 1 3 4 12 4 12 3 15 1 3 12 1 3 6 4 5 6 1 26.53 14.52 15.82 7.72 13.23 0.14 2 9.95 10.76 14.38 29 13 13 5 8 2 4 9 15 11 6.29 3.3 7.36 8.73 11.12 2.57 2.22 3.81 0.55 1.42 9 1 6 7 7 1 3 1 6 1 9.22 3.25 0.06 4.36 10.03 8 3 7 7 4 1.17 4.22 0.7 3.61 5.4 3.87 0.69 2.43 0.77 4.06 7 2 5 4 4 2 2 1 3 1
"39" 0 5.47 1.97 3.25 7.27 5.34 3.27 3.28 0.79 2.8 0.94 2.72 0.73 2.69 6.29 11.78 4.59 0.55 9.58 2.04 5.17 1.68 8.87 1.41 2.33 2.16 9.87 1 9.06 3.12 10.7 2.74 1.86 10.53 2.06 1.93 7.24 6.52 4.4 7.4 2.44 6 2 6 2 7 1 5 1 3 1 7 2 1 6 5 8 5 8 3 7 7 8 1 3 4 12 3 9 4 10 1 2 7 2 3 8 5 6 6 1 27.37 12.92 14.7 7.78 13.26 1.59 0.87 9.9 9.77 13.51 32 17 21 7 18 4 5 7 13 18 4.9 3.33 4.45 6.05 8.02 4.13 2.54 5.99 1.04 2.91 12 3 8 7 4 2 4 1 2 1 9.74 0.71 0.94 2.75 6.51 5 2 9 3 8 0.6 3.6 0.48 2.71 5.4 2.65 1.22 2.8 1.27 4.3 13 5 7 3 6 1 6 2 6 2
"40" 1 4.17 2.53 6.58 4.17 4.55 0.41 1.43 0.16 0.45 0.16 5.11 1.12 1.16 4.92 5.02 3.04 0.22 5.15 0.4 2.96 3.66 9.41 0.63 0.91 1.1 7.47 0.2 8.54 1.05 7.91 0.49 0.99 6.45 0.06 2.09 9.43 3.85 5.66 6.09 1.33 8 2 9 7 10 1 6 1 3 2 3 3 5 5 15 12 3 9 1 7 5 19 1 1 5 20 2 4 3 13 3 2 13 3 2 10 10 5 8 1 22.65 15.76 17.41 9.4 14.6 2.16 4.91 10.8 10.59 16.83 28 11 13 15 8 2 3 6 11 8 5.14 5.8 4.51 4.98 7.1 3.9 1.72 1.5 0.4 2.73 9 4 6 10 4 2 3 2 5 1 8.92 2.95 2.17 4.96 8.8 6 3 7 7 6 0.38 4.24 0.88 3.88 4.32 5.38 0.02 2.31 1.92 4.31 4 2 8 5 6 1 2 1 6 1
"41" 8 7.01 3.06 3.78 4.81 6.46 1.48 3.6 1.16 2.29 0.31 4.34 0.67 4.03 6.39 10.58 6.29 1.73 7.95 0.84 4.52 3.96 10.42 0.93 2.05 2.53 10.56 1.62 9.09 2.81 8.61 1.76 3.15 10.94 1.94 3.35 11.23 7.16 5.78 4.35 0.66 12 5 6 8 4 1 2 1 5 1 5 1 1 6 15 7 2 12 3 7 1 11 1 4 7 14 1 8 5 13 1 2 16 5 2 12 7 7 5 1 27.41 15.88 16.69 7.23 15.14 1 2.51 9.56 9.9 14.43 37 28 14 5 13 2 8 12 8 18 5.89 4.49 5.75 5.25 8.31 3.17 1.56 4.04 0.61 2.68 6 3 10 11 12 1 3 2 5 1 8.67 3.37 1.56 5.51 10.23 7 4 4 5 8 1.62 4.96 2.6 2.56 4.9 4.23 1.73 2.32 2.5 5.59 4 3 3 9 6 1 4 1 7 1
"42" 0 5.6 0.62 5.1 4.78 3.52 0.27 3.19 0.76 3.92 2.43 4.6 3.36 0.13 4.46 10.86 5.31 2.55 7.39 2.1 4.68 0.04 9.95 0.74 1.91 4.89 9.34 0.86 7.17 3.88 9.74 0.85 0.41 10.18 2.91 2.33 6.9 5.14 3.93 8.34 1.22 5 2 7 9 4 1 2 2 2 2 4 1 3 4 5 6 2 10 2 6 2 11 1 2 3 11 2 7 2 17 2 3 12 3 3 8 4 8 8 1 27.76 17.06 16.85 6.84 15.17 1.14 1.07 10.15 11.26 13.01 29 12 16 13 24 1 2 8 15 12 6.14 2.55 6.35 8.93 10.74 2.93 0.61 2.61 1.97 2.44 8 4 3 8 10 4 3 1 6 1 8.85 2.9 1.43 5.67 10 7 4 5 3 8 0.42 2.26 0.09 3.88 6.16 3.65 0.19 2.5 0.64 3.58 8 1 8 7 7 1 5 2 1 2
"43" 3 5.66 1.2 4.8 7.05 5.81 2.4 2.04 1.28 4.48 1.16 3.52 2.09 2.99 4.04 9.56 4.97 1.12 7.76 3.65 7.14 1.78 10.39 0.75 2.2 3.77 11.54 0.04 7.96 2.09 7.52 0.33 1.49 8.61 0.5 2.36 7.54 6.46 5.65 7.49 0.86 7 3 7 6 6 1 1 1 4 3 4 1 2 7 10 4 3 7 1 8 2 18 2 3 5 16 2 10 5 10 1 3 10 5 2 16 6 5 5 2 26.23 13.23 14.93 6.2 12.17 1.73 1.85 8.5 10.39 13.66 33 15 17 8 15 2 5 15 15 10 6.02 4.34 4.01 6.9 8.73 2.27 1.12 4.1 2.49 3.7 3 5 3 5 7 1 2 1 2 1 10.22 2.9 1.8 5.43 11.61 10 6 8 12 6 0.33 2.21 1.08 3.5 5.06 3.04 0.44 1.8 1.47 4.54 7 2 11 2 1 1 4 1 4 1
"44" 0 7.9 1.93 6.56 4.62 4.01 2.15 3.3 0.36 2.83 1.12 7.39 0.09 1.52 4.19 5.55 6.24 2.12 7.67 2.38 6.06 2.64 11.91 1.38 2.27 2.65 8.5 0.51 8.04 2.09 11.96 1.13 1.86 9.94 0.38 1.63 10.24 4.89 4.16 5.88 0.86 10 4 4 6 6 1 1 2 2 1 6 3 2 10 10 8 2 9 2 4 3 15 1 2 3 9 2 8 3 4 1 3 8 4 2 9 8 4 10 1 21.51 14.15 16.62 7.56 13.21 1.52 4.06 10.33 10.11 14.18 28 19 18 6 13 2 6 8 13 13 5.24 3.15 4.98 6.36 8.9 3.31 0.92 3.27 0.48 1.89 9 3 4 7 10 1 2 1 2 1 10.06 4.02 0.41 6.53 13.42 9 3 7 3 7 1.32 4.33 0.97 2.45 7.52 3.48 1.95 4.45 1.49 4.36 8 5 7 5 6 1 4 2 6 1
"45" 7 7.1 0.11 5.2 4.19 2.96 0.83 1.36 0.79 0.29 0.55 3.61 0.95 0.8 6.76 6.48 6.66 2.87 5.53 1.13 5.5 1.94 7.8 0.13 1.48 4.16 8.8 1.72 6.81 0.76 9.76 0.07 1.69 9.76 1.82 2.44 8.74 6.01 5.67 5.67 0.37 9 5 8 10 11 1 3 2 1 1 2 1 1 4 10 6 4 8 1 10 4 7 1 1 2 9 2 3 2 12 1 2 13 1 3 13 8 8 11 1 26.08 16 17.63 9.02 14.45 3.72 5.67 11.19 10.44 16.59 32 14 23 7 21 4 3 13 11 12 6.34 3.21 5.3 7.62 8.67 4.32 4.02 6.37 3.87 2.8 12 7 8 7 10 2 2 3 3 2 10.48 1.09 1.11 5.4 11.44 11 6 4 10 6 0.52 2.68 1.87 4.42 4.72 6.49 1.51 4.76 2.45 4.32 4 4 5 4 6 1 5 2 4 1
"46" 0 7.09 1.3 6.29 2.07 7.42 1.08 0.7 0.31 2.87 0.68 6.35 2.18 1.82 5.73 10.06 5.65 0.06 7.16 1.61 5.05 0.01 11.01 0.82 0.34 4.13 9.64 1.32 6.69 4.05 7.94 0.41 0.28 11.78 2.81 5.13 11.58 7.19 7.42 5.16 0.29 5 5 7 4 3 1 4 1 3 1 5 2 4 8 11 10 1 4 2 4 7 13 1 3 4 5 1 7 5 13 4 4 7 4 2 6 8 7 7 1 27.12 15.24 19.17 8.75 14.3 1.35 4.17 11.16 11.19 16.4 36 16 21 13 9 1 6 12 17 15 5.47 3.53 6.16 6.13 9.1 3.38 0.37 1.16 0.02 1.63 3 1 8 8 8 1 1 1 2 1 9.8 2.3 1.02 5.64 11.64 8 1 6 5 3 0.01 2.68 0.82 3.15 6.77 0.43 0.33 1.6 0.84 3.76 11 1 6 5 10 1 5 1 2 1
"47" 0 7.56 1.55 6.09 4.55 5.98 0.01 2.49 1.09 2.11 0.05 5.92 1.32 0.97 6.11 9.16 6.95 2.17 6.63 1.67 4.73 2.94 10.78 0.11 2.91 3.28 9.45 1.67 8.17 3.06 8.74 0.49 0.84 10.31 1.22 3.65 11.46 6.25 6.52 6.22 0.71 7 3 6 8 5 1 3 1 2 1 8 1 3 6 12 6 3 10 3 8 5 7 1 4 4 14 2 7 6 13 2 4 11 2 3 7 4 5 7 2 25.97 16.69 18.85 9.68 15.26 2.67 6.22 11.27 10.91 17.83 23 8 15 12 14 1 6 12 11 22 4.99 3.78 4.37 5.34 6.3 5.46 4.06 3.95 3.65 3.02 8 3 6 3 2 1 3 1 1 1 9.89 2.82 3.23 7.07 11.18 8 3 7 4 7 0.9 4.03 1.2 2.52 6.98 1.61 0.91 1.42 2.11 4.41 7 2 7 5 8 1 6 2 5 1
"48" 0 5.99 2.47 5.61 3.83 4.46 0.22 3.08 0.27 1.26 0.62 3.32 0.82 0.23 4.31 7.39 3.54 0.3 8.09 1.18 4.7 2.68 8.25 0.53 1.61 0.85 9.27 1.29 7.08 1.2 7.92 0.52 0.1 8.21 3.36 1.93 8.6 4.48 4.01 6.59 0.92 8 2 3 3 7 1 4 2 3 1 6 1 4 5 6 3 1 9 2 6 2 8 1 3 3 11 2 6 5 9 1 3 11 3 5 11 5 5 5 1 27.32 13.5 16.52 7.64 12.72 0.1 2.23 10.59 10.13 13.83 34 13 18 7 17 3 4 18 13 23 6.66 4.43 5.57 8.58 9.85 2.87 2.77 3.71 2.19 2.57 7 2 4 4 6 1 2 2 2 1 9.03 3.63 0.09 4.43 9.46 5 2 1 6 1 0.1 2.42 0.84 2.75 5.17 3.15 0.56 2.69 0.3 3.71 8 2 7 6 7 2 3 1 6 1
